Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
6,190,PHI,Dylan McMahon,OL,,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina St.,College Stats,McMaDy00
6,191,ARI,Tejhaun Palmer,WR,24,,0,0,0,,,,,,,,,,,,,,,,,,Ala-Birmingham,College Stats,PalmTe00
6,192,SEA,D.J. James,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Auburn,,JameDJ00
6,193,NWE,Joe Milton,QB,24,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee,College Stats,MiltJo00
6,194,CIN,Tanner McLachlan,TE,25,,0,0,0,,,,,,,,,,,,,,,,,,Arizona,College Stats,McLaTa00
6,195,PIT,Ryan Watts,SAF,22,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,WattRy00
6,196,LAR,Tyler Davis,DT,,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats,DaviTy05
6,197,ATL,Zion Logue,DL,23,,0,0,0,,,,,,,,,,,,,,,,,,Georgia,College Stats,LoguZi00
6,198,MIA,Patrick McMorris,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,California,College Stats,McMoPa00
6,199,NOR,Khristian Boyd,DL,24,,0,0,0,,,,,,,,,,,,,,,,,,Northern Iowa,,BoydKh00
6,200,CAR,Jaden Crumedy,DT,24,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi St.,College Stats,CrumJa00
6,201,IND,Micah Abraham,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Marshall,College Stats,AbraMi00
6,202,GNB,Travis Glover,OT,24,,0,0,0,,,,,,,,,,,,,,,,,,Georgia St.,,GlovTr00
6,203,MIN,Will Reichard,K,23,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,ReicWi00
6,204,BUF,Tylan Grable,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,Central Florida,College Stats,GrabTy00
6,205,HOU,Jawhar Jordan,RB,25,,0,0,0,,,,,,,,,,,,,,,,,,Louisville,College Stats,JordJa00
6,206,CLE,Nathaniel Watson,LB,24,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi St.,College Stats,WatsNa00
6,207,SEA,Michael Jerrell,OT,,,0,0,0,,,,,,,,,,,,,,,,,,Findlay,,JerrMi00
6,208,LVR,Dylan Laube,RB,24,,0,0,0,,,,,,,,,,,,,,,,,,New Hampshire,,LaubDy00
6,209,LAR,Joshua Karty,K,22,,0,0,0,,,,,,,,,,,,,,,,,,Stanford,College Stats,KartJo00
6,210,DET,Christian Mahogany,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Boston Col.,College Stats,MahoCh00
6,211,KAN,Kamal Hadden,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Tennessee,College Stats,HaddKa00
6,212,JAX,Cam Little,K,21,,0,0,0,,,,,,,,,,,,,,,,,,Arkansas,College Stats,LittCa00
6,213,LAR,Jordan Whittington,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Texas,College Stats,WhitJo04
6,214,CIN,Cedric Johnson,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Mississippi,College Stats,JohnCe01
